text_index,layer,token_index,token,user_probability,assistant_probability,tool_probability
0,8,0,Sum,0.940152108669281,1.2538373084680643e-05,0.05983530730009079
0,8,1,mar,0.9192672967910767,1.4990917406976223e-05,0.08071772754192352
0,8,2,ize,0.8692359924316406,1.5683526726206765e-05,0.13074833154678345
0,8,3, the,0.8815338015556335,3.608668703236617e-05,0.11843010038137436
0,8,4, main,0.9967934489250183,2.311466460014344e-06,0.003204242093488574
0,8,5, argument,0.9875279068946838,0.00011219647421967238,0.012359953485429287
0,8,6, of,0.998828113079071,4.570323199004633e-06,0.0011674131965264678
0,8,7, this,0.34177878499031067,7.379912858596072e-06,0.6582138538360596
0,8,8, passage,0.21584436297416687,8.537698886357248e-05,0.7840702533721924
0,8,9, in,0.9246540665626526,2.0508230136329075e-07,0.07534566521644592
0,8,10, two,0.5241567492485046,4.834593170244261e-08,0.4758431315422058
0,8,11, sentences,0.15599404275417328,2.588841653050622e-06,0.8440033197402954
0,8,12,".
",0.4545009732246399,6.637095793848857e-06,0.5454923510551453
0,12,0,Sum,0.9982801675796509,0.00014626639313064516,0.0015735876513645053
0,12,1,mar,0.9992639422416687,0.0006851206999272108,5.10263089381624e-05
0,12,2,ize,0.9987590312957764,0.0006545309443026781,0.0005864912527613342
0,12,3, the,0.8711675405502319,0.0009974034037441015,0.12783510982990265
0,12,4, main,0.9971874356269836,0.00012744177365675569,0.0026851785369217396
0,12,5, argument,0.9398357272148132,0.010129198431968689,0.05003513768315315
0,12,6, of,0.949788510799408,0.0038712837267667055,0.04634026437997818
0,12,7, this,0.9736029505729675,9.562241757521406e-05,0.026301423087716103
0,12,8, passage,0.038517653942108154,0.01205097883939743,0.9494314193725586
0,12,9, in,0.9922580122947693,0.0018565286882221699,0.005885503254830837
0,12,10, two,0.9632327556610107,0.006605172995477915,0.030162081122398376
0,12,11, sentences,0.9252634644508362,0.029068317264318466,0.045668210834264755
0,12,12,".
",0.943263053894043,0.004336504731327295,0.05240051448345184
