contrast,layer,position_order,position,mean_activation_difference_norm,mean_pairwise_cosine,layer_increment_mean_difference_norm,marker_confounded
V0_minus_V4,0,0,embedded_im_start,0.0,0.0,,False
V0_minus_V4,0,1,role_token,2.1708884239196777,1.0,,False
V0_minus_V4,0,2,post_role_newline,0.0,0.0,,False
V0_minus_V4,0,3,command_0_12497,0.0,0.0,,False
V0_minus_V4,0,4,command_1_279,0.0,0.0,,False
V0_minus_V4,0,5,command_2_28285,0.0,0.0,,False
V0_minus_V4,0,6,command_3_2022,0.0,0.0,,False
V0_minus_V4,0,7,command_4_3383,0.0,0.0,,False
V0_minus_V4,0,8,command_5_323,0.0,0.0,,False
V0_minus_V4,0,9,command_6_2550,0.0,0.0,,False
V0_minus_V4,0,10,command_7_6896,0.0,0.0,,False
V0_minus_V4,0,11,embedded_im_end_marker_confounded,0.0,0.0,,True
V0_minus_V4,1,0,embedded_im_start,0.0,0.0,0.0,False
V0_minus_V4,1,1,role_token,5.536500692367554,0.9775628209114074,3.365612268447876,False
V0_minus_V4,1,2,post_role_newline,0.7264221608638763,0.9923904458681743,0.7264221608638763,False
V0_minus_V4,1,3,command_0_12497,1.968248228232066,0.9869767467180888,1.968248228232066,False
V0_minus_V4,1,4,command_1_279,0.14024009058872858,0.8761804223060607,0.14024009058872858,False
V0_minus_V4,1,5,command_2_28285,0.3964213728904724,0.9549546400705974,0.3964213728904724,False
V0_minus_V4,1,6,command_3_2022,0.2637169932325681,0.9320755004882812,0.2637169932325681,False
V0_minus_V4,1,7,command_4_3383,0.13304191579421362,0.520674075682958,0.13304191579421362,False
V0_minus_V4,1,8,command_5_323,0.0596462357789278,0.6877713998158773,0.0596462357789278,False
V0_minus_V4,1,9,command_6_2550,0.11380929996569951,0.6501337349414825,0.11380929996569951,False
V0_minus_V4,1,10,command_7_6896,0.1015111394226551,0.3288244068622589,0.1015111394226551,False
V0_minus_V4,1,11,embedded_im_end_marker_confounded,0.6918206512928009,-0.03817130029201508,0.6918206512928009,True
V0_minus_V4,2,0,embedded_im_start,0.0,0.0,0.0,False
V0_minus_V4,2,1,role_token,6.310378710428874,0.9752542972564697,0.7738780180613203,False
V0_minus_V4,2,2,post_role_newline,1.8338923851648967,0.9800273021062215,1.1074702243010204,False
V0_minus_V4,2,3,command_0_12497,2.288919965426127,0.9849737008412679,0.32067173719406106,False
V0_minus_V4,2,4,command_1_279,0.43839068710803986,0.879610252380371,0.2981505965193113,False
V0_minus_V4,2,5,command_2_28285,0.544120172659556,0.9382181207338969,0.14769879976908362,False
V0_minus_V4,2,6,command_3_2022,0.3962153196334839,0.91221551100413,0.1324983264009158,False
V0_minus_V4,2,7,command_4_3383,0.39632033308347064,0.8689758578936259,0.26327841728925705,False
V0_minus_V4,2,8,command_5_323,0.244892917573452,0.9052007317543029,0.1852466817945242,False
V0_minus_V4,2,9,command_6_2550,0.2370394542813301,0.8223724087079366,0.1232301543156306,False
V0_minus_V4,2,10,command_7_6896,0.2248945434888204,0.6798595090707144,0.1233834040661653,False
V0_minus_V4,2,11,embedded_im_end_marker_confounded,0.8545508980751038,-0.04726143230994542,0.16273024678230286,True
V0_minus_V4,3,0,embedded_im_start,0.0,0.0,0.0,False
V0_minus_V4,3,1,role_token,7.2535421053568525,0.9735747218132019,0.9431633949279785,False
V0_minus_V4,3,2,post_role_newline,2.2384931246439614,0.976948098341624,0.4046007394790647,False
V0_minus_V4,3,3,command_0_12497,2.741698662439982,0.9780109445254008,0.452778697013855,False
V0_minus_V4,3,4,command_1_279,0.6969517171382904,0.912337851524353,0.25856103003025055,False
V0_minus_V4,3,5,command_2_28285,0.7630738715330759,0.9407946666081747,0.2189536988735199,False
V0_minus_V4,3,6,command_3_2022,0.8819954494635264,0.9541882872581482,0.4857801298300425,False
V0_minus_V4,3,7,command_4_3383,0.7591798007488251,0.9234696626663208,0.36285946766535443,False
V0_minus_V4,3,8,command_5_323,0.6261728604634603,0.9471152345339457,0.3812799428900083,False
V0_minus_V4,3,9,command_6_2550,0.5876120428244272,0.9163608233133952,0.35057258854309714,False
V0_minus_V4,3,10,command_7_6896,0.44322151442368823,0.853788451353709,0.21832697093486783,False
V0_minus_V4,3,11,embedded_im_end_marker_confounded,1.0134700536727905,0.09995079015692075,0.15891915559768677,True
V0_minus_V4,4,0,embedded_im_start,0.0,0.0,0.0,False
V0_minus_V4,4,1,role_token,9.76737149556478,0.9811781962712606,2.5138293902079267,False
V0_minus_V4,4,2,post_role_newline,2.884984254837036,0.9757474462191263,0.6464911301930747,False
V0_minus_V4,4,3,command_0_12497,3.358078678448995,0.976216979821523,0.6163800160090132,False
V0_minus_V4,4,4,command_1_279,0.9202661414941152,0.9413901289304097,0.22331442435582483,False
V0_minus_V4,4,5,command_2_28285,0.9777199625968933,0.9213544050852458,0.21464609106381738,False
V0_minus_V4,4,6,command_3_2022,1.146293838818868,0.9358625769615173,0.26429838935534156,False
V0_minus_V4,4,7,command_4_3383,0.9050213396549225,0.9188864588737488,0.1458415389060974,False
V0_minus_V4,4,8,command_5_323,0.9194501837094625,0.9419216036796569,0.2932773232460022,False
V0_minus_V4,4,9,command_6_2550,0.7978728115558624,0.9126704136530558,0.21026076873143518,False
